epName,true_slack,pred_slack,diff_slack,true_arr,pred_arr,diff_arr,required,spName,riseFall
sa32_reg[0]/D,13.583251953125,13.583251953125,0.0,420.4231872558594,420.4232177734375,-3.0517578125e-05,434.0064697265625,text_in_r_reg[32]/CLK,fall
u0_r0_out_reg[25]/D,-41.62579345703125,-41.62579345703125,0.0,610.9276123046875,610.9275512695312,6.103515625e-05,569.3017578125,u0_r0_rcnt_reg[0]/CLK,rise
u0_w_reg[1][4]/D,-90.44708251953125,-90.44708251953125,0.0,551.8056030273438,551.8057250976562,-0.0001220703125,461.358642578125,u0_w_reg[3][25]/CLK,rise
u0_w_reg[2][14]/D,-118.83197021484375,-118.83197021484375,0.0,551.4736328125,551.4735717773438,6.103515625e-05,432.6416015625,u0_w_reg[3][7]/CLK,fall
sa10_reg[1]/D,28.2825927734375,28.2825927734375,0.0,487.4881591796875,487.4881591796875,0.0,515.770751953125,text_in_r_reg[113]/CLK,rise
u0_w_reg[1][16]/D,-65.2088623046875,-65.2088623046875,0.0,556.2351684570312,556.2351684570312,0.0,491.02630615234375,u0_w_reg[3][15]/CLK,fall
text_out_reg[76]/D,146.30230712890625,146.30230712890625,0.0,398.8531799316406,398.8531494140625,3.0517578125e-05,545.1554565429688,sa23_reg[0]/CLK,rise
sa01_reg[6]/D,300.6604919433594,300.6604919433594,0.0,205.51425170898438,205.51425170898438,0.0,506.17474365234375,u0_w_reg[1][30]/CLK,rise
text_in_r_reg[17]/D,139.4818115234375,139.4818115234375,0.0,412.6231689453125,412.6231689453125,0.0,552.10498046875,text_in_r_reg[17]/CLK,rise
text_in_r_reg[53]/D,139.896240234375,139.896240234375,0.0,485.85693359375,485.85693359375,0.0,625.753173828125,text_in_r_reg[53]/CLK,rise
text_out_reg[87]/D,4.0379638671875,4.0379638671875,0.0,554.751220703125,554.751220703125,0.0,558.7891845703125,sa12_reg[1]/CLK,rise
sa20_reg[5]/D,277.7843017578125,277.7843017578125,0.0,179.0445556640625,179.04457092285156,-1.52587890625e-05,456.8288879394531,u0_w_reg[0][13]/CLK,fall
u0_w_reg[2][8]/D,-238.21151733398438,-238.21151733398438,0.0,546.7818603515625,546.7819213867188,-6.103515625e-05,308.5704040527344,u0_w_reg[3][3]/CLK,rise
u0_w_reg[1][6]/D,-69.22674560546875,-69.22674560546875,0.0,551.5213012695312,551.5214233398438,-0.0001220703125,482.294677734375,u0_w_reg[3][25]/CLK,fall
text_in_r_reg[6]/D,139.78759765625,139.78759765625,0.0,412.1554260253906,412.1553955078125,3.0517578125e-05,551.9429931640625,text_in_r_reg[6]/CLK,rise
sa32_reg[2]/D,-22.744964599609375,-22.744964599609375,0.0,490.72552490234375,490.7255554199219,-3.0517578125e-05,467.9805908203125,text_in_r_reg[34]/CLK,rise
u0_r0_out_reg[29]/D,-50.80487060546875,-50.80487060546875,0.0,619.1283569335938,619.1283569335938,0.0,568.323486328125,u0_r0_rcnt_reg[0]/CLK,rise
u0_w_reg[2][7]/D,-51.026123046875,-51.026123046875,0.0,557.8331298828125,557.8331909179688,-6.103515625e-05,506.80706787109375,u0_w_reg[3][25]/CLK,fall
text_out_reg[79]/D,171.33572387695312,171.33572387695312,0.0,387.97467041015625,387.9747009277344,-3.0517578125e-05,559.3104248046875,sa23_reg[0]/CLK,rise
text_out_reg[55]/D,69.77911376953125,69.77911376953125,0.0,477.86907958984375,477.8690185546875,6.103515625e-05,547.6481323242188,sa13_reg[1]/CLK,rise
sa03_reg[2]/D,31.423004150390625,31.423004150390625,0.0,416.0848388671875,416.0848693847656,-3.0517578125e-05,447.50787353515625,text_in_r_reg[26]/CLK,fall
u0_w_reg[1][9]/D,-42.87786865234375,-42.87786865234375,0.0,555.1123657226562,555.1123657226562,0.0,512.2344970703125,u0_w_reg[3][3]/CLK,fall
u0_w_reg[0][20]/D,-240.6287841796875,-240.6287841796875,0.0,535.7784423828125,535.7785034179688,-6.103515625e-05,295.14971923828125,u0_w_reg[3][15]/CLK,rise
sa31_reg[4]/D,126.12274169921875,126.12274169921875,0.0,372.8831787109375,372.8832092285156,-3.0517578125e-05,499.0059509277344,u0_w_reg[1][4]/CLK,rise
